# Images of the six Steane stabilizer generators under the standard H/P/CNOT Clifford generating gates.
gate,gate_kind,source,image_sign,image,signed_image,image_list_rank,image_list_isotropic
CNOT1_2,CNOT,X2,1,1000110|0000000,+1000110|0000000,6,true
CNOT1_2,CNOT,X3,1,1110101|0000000,+1110101|0000000,6,true
CNOT1_2,CNOT,Z1,1,0000000|0111000,+0000000|0111000,6,true
CNOT1_2,CNOT,Z2,1,0000000|0100110,+0000000|0100110,6,true
CNOT1_2,CNOT,Z3,1,0000000|1010101,+0000000|1010101,6,true
CNOT1_3,CNOT,X1,1,1101000|0000000,+1101000|0000000,6,true
CNOT1_3,CNOT,X2,1,1110110|0000000,+1110110|0000000,6,true
CNOT1_3,CNOT,X3,1,1000101|0000000,+1000101|0000000,6,true
CNOT1_3,CNOT,Z1,1,0000000|0111000,+0000000|0111000,6,true
CNOT1_3,CNOT,Z2,1,0000000|1100110,+0000000|1100110,6,true
CNOT1_3,CNOT,Z3,1,0000000|0010101,+0000000|0010101,6,true
CNOT1_4,CNOT,X1,1,1110000|0000000,+1110000|0000000,6,true
CNOT1_4,CNOT,X2,1,1101110|0000000,+1101110|0000000,6,true
CNOT1_4,CNOT,X3,1,1011101|0000000,+1011101|0000000,6,true
CNOT1_4,CNOT,Z1,1,0000000|0111000,+0000000|0111000,6,true
CNOT1_4,CNOT,Z2,1,0000000|1100110,+0000000|1100110,6,true
CNOT1_4,CNOT,Z3,1,0000000|1010101,+0000000|1010101,6,true
CNOT1_5,CNOT,X1,1,1111100|0000000,+1111100|0000000,6,true
CNOT1_5,CNOT,X2,1,1100010|0000000,+1100010|0000000,6,true
CNOT1_5,CNOT,X3,1,1010001|0000000,+1010001|0000000,6,true
CNOT1_5,CNOT,Z1,1,0000000|1111000,+0000000|1111000,6,true
CNOT1_5,CNOT,Z2,1,0000000|0100110,+0000000|0100110,6,true
CNOT1_5,CNOT,Z3,1,0000000|0010101,+0000000|0010101,6,true
CNOT1_6,CNOT,X1,1,1111010|0000000,+1111010|0000000,6,true
CNOT1_6,CNOT,X2,1,1100100|0000000,+1100100|0000000,6,true
CNOT1_6,CNOT,X3,1,1010111|0000000,+1010111|0000000,6,true
CNOT1_6,CNOT,Z1,1,0000000|1111000,+0000000|1111000,6,true
CNOT1_6,CNOT,Z2,1,0000000|0100110,+0000000|0100110,6,true
CNOT1_6,CNOT,Z3,1,0000000|1010101,+0000000|1010101,6,true
CNOT1_7,CNOT,X1,1,1111001|0000000,+1111001|0000000,6,true
CNOT1_7,CNOT,X2,1,1100111|0000000,+1100111|0000000,6,true
CNOT1_7,CNOT,X3,1,1010100|0000000,+1010100|0000000,6,true
CNOT1_7,CNOT,Z1,1,0000000|1111000,+0000000|1111000,6,true
CNOT1_7,CNOT,Z2,1,0000000|1100110,+0000000|1100110,6,true
CNOT1_7,CNOT,Z3,1,0000000|0010101,+0000000|0010101,6,true
CNOT2_1,CNOT,X1,1,0111000|0000000,+0111000|0000000,6,true
CNOT2_1,CNOT,X2,1,0100110|0000000,+0100110|0000000,6,true
CNOT2_1,CNOT,X3,1,1010101|0000000,+1010101|0000000,6,true
CNOT2_1,CNOT,Z1,1,0000000|1011000,+0000000|1011000,6,true
CNOT2_1,CNOT,Z2,1,0000000|1000110,+0000000|1000110,6,true
CNOT2_1,CNOT,Z3,1,0000000|1110101,+0000000|1110101,6,true
CNOT2_3,CNOT,X1,1,1101000|0000000,+1101000|0000000,6,true
CNOT2_3,CNOT,X2,1,1110110|0000000,+1110110|0000000,6,true
CNOT2_3,CNOT,X3,1,1010101|0000000,+1010101|0000000,6,true
CNOT2_3,CNOT,Z1,1,0000000|1011000,+0000000|1011000,6,true
CNOT2_3,CNOT,Z2,1,0000000|1100110,+0000000|1100110,6,true
CNOT2_3,CNOT,Z3,1,0000000|1110101,+0000000|1110101,6,true
CNOT2_4,CNOT,X1,1,1110000|0000000,+1110000|0000000,6,true
CNOT2_4,CNOT,X2,1,1101110|0000000,+1101110|0000000,6,true
CNOT2_4,CNOT,X3,1,1010101|0000000,+1010101|0000000,6,true
CNOT2_4,CNOT,Z1,1,0000000|1011000,+0000000|1011000,6,true
CNOT2_4,CNOT,Z2,1,0000000|1100110,+0000000|1100110,6,true
CNOT2_4,CNOT,Z3,1,0000000|1010101,+0000000|1010101,6,true
CNOT2_5,CNOT,X1,1,1111100|0000000,+1111100|0000000,6,true
CNOT2_5,CNOT,X2,1,1100010|0000000,+1100010|0000000,6,true
CNOT2_5,CNOT,X3,1,1010101|0000000,+1010101|0000000,6,true
CNOT2_5,CNOT,Z1,1,0000000|1111000,+0000000|1111000,6,true
CNOT2_5,CNOT,Z2,1,0000000|1000110,+0000000|1000110,6,true
CNOT2_5,CNOT,Z3,1,0000000|1110101,+0000000|1110101,6,true
CNOT2_6,CNOT,X1,1,1111010|0000000,+1111010|0000000,6,true
CNOT2_6,CNOT,X2,1,1100100|0000000,+1100100|0000000,6,true
CNOT2_6,CNOT,X3,1,1010101|0000000,+1010101|0000000,6,true
CNOT2_6,CNOT,Z1,1,0000000|1111000,+0000000|1111000,6,true
CNOT2_6,CNOT,Z2,1,0000000|1000110,+0000000|1000110,6,true
CNOT2_6,CNOT,Z3,1,0000000|1010101,+0000000|1010101,6,true
CNOT2_7,CNOT,X1,1,1111001|0000000,+1111001|0000000,6,true
CNOT2_7,CNOT,X2,1,1100111|0000000,+1100111|0000000,6,true
CNOT2_7,CNOT,X3,1,1010101|0000000,+1010101|0000000,6,true
CNOT2_7,CNOT,Z1,1,0000000|1111000,+0000000|1111000,6,true
CNOT2_7,CNOT,Z2,1,0000000|1100110,+0000000|1100110,6,true
CNOT2_7,CNOT,Z3,1,0000000|1110101,+0000000|1110101,6,true
CNOT3_1,CNOT,X1,1,0111000|0000000,+0111000|0000000,6,true
CNOT3_1,CNOT,X2,1,1100110|0000000,+1100110|0000000,6,true
CNOT3_1,CNOT,X3,1,0010101|0000000,+0010101|0000000,6,true
CNOT3_1,CNOT,Z1,1,0000000|1101000,+0000000|1101000,6,true
CNOT3_1,CNOT,Z2,1,0000000|1110110,+0000000|1110110,6,true
CNOT3_1,CNOT,Z3,1,0000000|1000101,+0000000|1000101,6,true
CNOT3_2,CNOT,X1,1,1011000|0000000,+1011000|0000000,6,true
CNOT3_2,CNOT,X2,1,1100110|0000000,+1100110|0000000,6,true
CNOT3_2,CNOT,X3,1,1110101|0000000,+1110101|0000000,6,true
CNOT3_2,CNOT,Z1,1,0000000|1101000,+0000000|1101000,6,true
CNOT3_2,CNOT,Z2,1,0000000|1110110,+0000000|1110110,6,true
CNOT3_2,CNOT,Z3,1,0000000|1010101,+0000000|1010101,6,true
CNOT3_4,CNOT,X1,1,1110000|0000000,+1110000|0000000,6,true
CNOT3_4,CNOT,X2,1,1100110|0000000,+1100110|0000000,6,true
CNOT3_4,CNOT,X3,1,1011101|0000000,+1011101|0000000,6,true
CNOT3_4,CNOT,Z1,1,0000000|1101000,+0000000|1101000,6,true
CNOT3_4,CNOT,Z2,1,0000000|1100110,+0000000|1100110,6,true
CNOT3_4,CNOT,Z3,1,0000000|1010101,+0000000|1010101,6,true
CNOT3_5,CNOT,X1,1,1111100|0000000,+1111100|0000000,6,true
CNOT3_5,CNOT,X2,1,1100110|0000000,+1100110|0000000,6,true
CNOT3_5,CNOT,X3,1,1010001|0000000,+1010001|0000000,6,true
CNOT3_5,CNOT,Z1,1,0000000|1111000,+0000000|1111000,6,true
CNOT3_5,CNOT,Z2,1,0000000|1110110,+0000000|1110110,6,true
CNOT3_5,CNOT,Z3,1,0000000|1000101,+0000000|1000101,6,true
CNOT3_6,CNOT,X1,1,1111010|0000000,+1111010|0000000,6,true
CNOT3_6,CNOT,X2,1,1100110|0000000,+1100110|0000000,6,true
CNOT3_6,CNOT,X3,1,1010111|0000000,+1010111|0000000,6,true
CNOT3_6,CNOT,Z1,1,0000000|1111000,+0000000|1111000,6,true
CNOT3_6,CNOT,Z2,1,0000000|1110110,+0000000|1110110,6,true
CNOT3_6,CNOT,Z3,1,0000000|1010101,+0000000|1010101,6,true
CNOT3_7,CNOT,X1,1,1111001|0000000,+1111001|0000000,6,true
CNOT3_7,CNOT,X2,1,1100110|0000000,+1100110|0000000,6,true
CNOT3_7,CNOT,X3,1,1010100|0000000,+1010100|0000000,6,true
CNOT3_7,CNOT,Z1,1,0000000|1111000,+0000000|1111000,6,true
CNOT3_7,CNOT,Z2,1,0000000|1100110,+0000000|1100110,6,true
CNOT3_7,CNOT,Z3,1,0000000|1000101,+0000000|1000101,6,true
CNOT4_1,CNOT,X1,1,0111000|0000000,+0111000|0000000,6,true
CNOT4_1,CNOT,X2,1,1100110|0000000,+1100110|0000000,6,true
CNOT4_1,CNOT,X3,1,1010101|0000000,+1010101|0000000,6,true
CNOT4_1,CNOT,Z1,1,0000000|1110000,+0000000|1110000,6,true
CNOT4_1,CNOT,Z2,1,0000000|1101110,+0000000|1101110,6,true
CNOT4_1,CNOT,Z3,1,0000000|1011101,+0000000|1011101,6,true
CNOT4_2,CNOT,X1,1,1011000|0000000,+1011000|0000000,6,true
CNOT4_2,CNOT,X2,1,1100110|0000000,+1100110|0000000,6,true
CNOT4_2,CNOT,X3,1,1010101|0000000,+1010101|0000000,6,true
CNOT4_2,CNOT,Z1,1,0000000|1110000,+0000000|1110000,6,true
CNOT4_2,CNOT,Z2,1,0000000|1101110,+0000000|1101110,6,true
CNOT4_2,CNOT,Z3,1,0000000|1010101,+0000000|1010101,6,true
CNOT4_3,CNOT,X1,1,1101000|0000000,+1101000|0000000,6,true
CNOT4_3,CNOT,X2,1,1100110|0000000,+1100110|0000000,6,true
CNOT4_3,CNOT,X3,1,1010101|0000000,+1010101|0000000,6,true
CNOT4_3,CNOT,Z1,1,0000000|1110000,+0000000|1110000,6,true
CNOT4_3,CNOT,Z2,1,0000000|1100110,+0000000|1100110,6,true
CNOT4_3,CNOT,Z3,1,0000000|1011101,+0000000|1011101,6,true
CNOT4_5,CNOT,X1,1,1111100|0000000,+1111100|0000000,6,true
CNOT4_5,CNOT,X2,1,1100110|0000000,+1100110|0000000,6,true
CNOT4_5,CNOT,X3,1,1010101|0000000,+1010101|0000000,6,true
CNOT4_5,CNOT,Z1,1,0000000|1111000,+0000000|1111000,6,true
CNOT4_5,CNOT,Z2,1,0000000|1101110,+0000000|1101110,6,true
CNOT4_5,CNOT,Z3,1,0000000|1011101,+0000000|1011101,6,true
CNOT4_6,CNOT,X1,1,1111010|0000000,+1111010|0000000,6,true
CNOT4_6,CNOT,X2,1,1100110|0000000,+1100110|0000000,6,true
CNOT4_6,CNOT,X3,1,1010101|0000000,+1010101|0000000,6,true
CNOT4_6,CNOT,Z1,1,0000000|1111000,+0000000|1111000,6,true
CNOT4_6,CNOT,Z2,1,0000000|1101110,+0000000|1101110,6,true
CNOT4_6,CNOT,Z3,1,0000000|1010101,+0000000|1010101,6,true
CNOT4_7,CNOT,X1,1,1111001|0000000,+1111001|0000000,6,true
CNOT4_7,CNOT,X2,1,1100110|0000000,+1100110|0000000,6,true
CNOT4_7,CNOT,X3,1,1010101|0000000,+1010101|0000000,6,true
CNOT4_7,CNOT,Z1,1,0000000|1111000,+0000000|1111000,6,true
CNOT4_7,CNOT,Z2,1,0000000|1100110,+0000000|1100110,6,true
CNOT4_7,CNOT,Z3,1,0000000|1011101,+0000000|1011101,6,true
CNOT5_1,CNOT,X1,1,1111000|0000000,+1111000|0000000,6,true
CNOT5_1,CNOT,X2,1,0100110|0000000,+0100110|0000000,6,true
CNOT5_1,CNOT,X3,1,0010101|0000000,+0010101|0000000,6,true
CNOT5_1,CNOT,Z1,1,0000000|1111100,+0000000|1111100,6,true
CNOT5_1,CNOT,Z2,1,0000000|1100010,+0000000|1100010,6,true
CNOT5_1,CNOT,Z3,1,0000000|1010001,+0000000|1010001,6,true
CNOT5_2,CNOT,X1,1,1111000|0000000,+1111000|0000000,6,true
CNOT5_2,CNOT,X2,1,1000110|0000000,+1000110|0000000,6,true
CNOT5_2,CNOT,X3,1,1110101|0000000,+1110101|0000000,6,true
CNOT5_2,CNOT,Z1,1,0000000|1111100,+0000000|1111100,6,true
CNOT5_2,CNOT,Z2,1,0000000|1100010,+0000000|1100010,6,true
CNOT5_2,CNOT,Z3,1,0000000|1010101,+0000000|1010101,6,true
CNOT5_3,CNOT,X1,1,1111000|0000000,+1111000|0000000,6,true
CNOT5_3,CNOT,X2,1,1110110|0000000,+1110110|0000000,6,true
CNOT5_3,CNOT,X3,1,1000101|0000000,+1000101|0000000,6,true
CNOT5_3,CNOT,Z1,1,0000000|1111100,+0000000|1111100,6,true
CNOT5_3,CNOT,Z2,1,0000000|1100110,+0000000|1100110,6,true
CNOT5_3,CNOT,Z3,1,0000000|1010001,+0000000|1010001,6,true
CNOT5_4,CNOT,X1,1,1111000|0000000,+1111000|0000000,6,true
CNOT5_4,CNOT,X2,1,1101110|0000000,+1101110|0000000,6,true
CNOT5_4,CNOT,X3,1,1011101|0000000,+1011101|0000000,6,true
CNOT5_4,CNOT,Z1,1,0000000|1111100,+0000000|1111100,6,true
CNOT5_4,CNOT,Z2,1,0000000|1100110,+0000000|1100110,6,true
CNOT5_4,CNOT,Z3,1,0000000|1010101,+0000000|1010101,6,true
